,0
0,https://www.spotrac.com/mlb/AD/Alex-Rodriguez/statistics/
1,https://www.spotrac.com/mlb/AD/Derek-Jeter/statistics/
2,https://www.spotrac.com/mlb/AD/Alex-Rodriguez/statistics/
3,https://www.spotrac.com/mlb/AD/Manny-Ramirez/statistics/
4,https://www.spotrac.com/mlb/AD/Albert-Pujols/statistics/
5,https://www.spotrac.com/mlb/AD/Clayton-Kershaw/statistics/
6,https://www.spotrac.com/mlb/AD/Prince-Fielder/statistics/
7,https://www.spotrac.com/mlb/AD/Mark-Teixeira/statistics/
8,https://www.spotrac.com/mlb/AD/Dave-Winfield/statistics/
9,https://www.spotrac.com/mlb/AD/David-Price/statistics/
10,https://www.spotrac.com/mlb/AD/Joe-Mauer/statistics/
11,https://www.spotrac.com/mlb/AD/Kevin-Brown/statistics/
12,https://www.spotrac.com/mlb/AD/Robinson-Cano/statistics/
13,https://www.spotrac.com/mlb/AD/Zack-Greinke/statistics/
14,https://www.spotrac.com/mlb/AD/Catfish-Hunter/statistics/
15,https://www.spotrac.com/mlb/AD/Max-Scherzer/statistics/
16,https://www.spotrac.com/mlb/AD/Mike-Hampton/statistics/
17,https://www.spotrac.com/mlb/AD/Felix-Hernandez/statistics/
18,https://www.spotrac.com/mlb/AD/Alfonso-Soriano/statistics/
19,https://www.spotrac.com/mlb/AD/Jason-Heyward/statistics/
20,https://www.spotrac.com/mlb/AD/Mike-Piazza/statistics/
21,https://www.spotrac.com/mlb/AD/Chipper-Jones/statistics/
22,https://www.spotrac.com/mlb/AD/Johan-Santana/statistics/
23,https://www.spotrac.com/mlb/AD/Carlos-Beltran/statistics/
24,https://www.spotrac.com/mlb/AD/Ken-Griffey-Jr/statistics/
25,https://www.spotrac.com/mlb/AD/Bernie-Williams/statistics/
26,https://www.spotrac.com/mlb/AD/Adrian-Gonzalez/statistics/
27,https://www.spotrac.com/mlb/AD/Barry-Zito/statistics/
28,https://www.spotrac.com/mlb/AD/Barry-Bonds/statistics/
29,https://www.spotrac.com/mlb/AD/Masahiro-Tanaka/statistics/
30,https://www.spotrac.com/mlb/AD/Chris-Davis/statistics/
31,https://www.spotrac.com/mlb/AD/Mo-Vaughn/statistics/
32,https://www.spotrac.com/mlb/AD/Jacoby-Ellsbury/statistics/
33,https://www.spotrac.com/mlb/AD/Carl-Crawford/statistics/
34,https://www.spotrac.com/mlb/AD/Mike-Mussina/statistics/
35,https://www.spotrac.com/mlb/AD/Jon-Lester/statistics/
36,https://www.spotrac.com/mlb/AD/Jim-Thome/statistics/
37,https://www.spotrac.com/mlb/AD/Vernon-Wells/statistics/
38,https://www.spotrac.com/mlb/AD/Mike-Schmidt/statistics/
39,https://www.spotrac.com/mlb/AD/Pedro-Martinez/statistics/
40,https://www.spotrac.com/mlb/AD/Matt-Holliday/statistics/
41,https://www.spotrac.com/mlb/AD/David-Wright/statistics/
42,https://www.spotrac.com/mlb/AD/Cliff-Lee/statistics/
43,https://www.spotrac.com/mlb/AD/Ryan-Howard/statistics/
44,https://www.spotrac.com/mlb/AD/Eric-Hosmer/statistics/
45,https://www.spotrac.com/mlb/AD/Carlos-Lee/statistics/
46,https://www.spotrac.com/mlb/AD/Jayson-Werth/statistics/
47,https://www.spotrac.com/mlb/AD/Justin-Verlander/statistics/
48,https://www.spotrac.com/mlb/AD/CC-Sabathia/statistics/
49,https://www.spotrac.com/mlb/AD/Magglio-Ordonez/statistics/
50,https://www.spotrac.com/mlb/AD/Cecil-Fielder/statistics/
51,https://www.spotrac.com/mlb/AD/Greg-Maddux/statistics/
52,https://www.spotrac.com/mlb/AD/Shin-Soo-Choo/statistics/
53,https://www.spotrac.com/mlb/AD/Vladimir-Guerrero/statistics/
54,https://www.spotrac.com/mlb/AD/Barry-Bonds/statistics/
55,https://www.spotrac.com/mlb/AD/Johnny-Cueto/statistics/
56,https://www.spotrac.com/mlb/AD/Torii-Hunter/statistics/
57,https://www.spotrac.com/mlb/AD/Ichiro-Suzuki/statistics/
58,https://www.spotrac.com/mlb/AD/Greg-Maddux/statistics/
59,https://www.spotrac.com/mlb/AD/Josh-Hamilton/statistics/
60,https://www.spotrac.com/mlb/AD/George-Brett/statistics/
61,https://www.spotrac.com/mlb/AD/Jose-Reyes/statistics/
62,https://www.spotrac.com/mlb/AD/Adrian-Beltre/statistics/
63,https://www.spotrac.com/mlb/AD/Bobby-Bonilla/statistics/
64,https://www.spotrac.com/mlb/AD/AJ-Burnett/statistics/
65,https://www.spotrac.com/mlb/AD/Matt-Cain/statistics/
66,https://www.spotrac.com/mlb/AD/Miguel-Tejada/statistics/
67,https://www.spotrac.com/mlb/AD/Nolan-Ryan/statistics/
68,https://www.spotrac.com/mlb/AD/JD-Martinez/statistics/
69,https://www.spotrac.com/mlb/AD/JD-Martinez/statistics/
70,https://www.spotrac.com/mlb/AD/Randy-Johnson/statistics/
71,https://www.spotrac.com/mlb/AD/Jordan-Zimmermann/statistics/
72,https://www.spotrac.com/mlb/AD/Justin-Upton/statistics/
73,https://www.spotrac.com/mlb/AD/Mark-McGwire/statistics/
74,https://www.spotrac.com/mlb/AD/Aramis-Ramirez/statistics/
75,https://www.spotrac.com/mlb/AD/Reggie-Jackson/statistics/
76,https://www.spotrac.com/mlb/AD/JD-Drew/statistics/
77,https://www.spotrac.com/mlb/AD/Roger-Clemens/statistics/
78,https://www.spotrac.com/mlb/AD/Adrian-Beltre/statistics/
79,https://www.spotrac.com/mlb/AD/Rod-Carew/statistics/
80,https://www.spotrac.com/mlb/AD/Ivan-Rodriguez/statistics/
81,https://www.spotrac.com/mlb/AD/Ryan-Braun/statistics/
