,Season,Team,GP,GS,AB,R,H,2B,3B,HR,RBI,BB,SB,K,AVG,OBP,SLG,OPS,WAR
0,2023,LAA,82,81,308,54,81,14,1,18,44,45,2,104,.263,.367,.490,.857,2.87
1,2022,LAA,119,117,438,85,124,28,2,40,80,54,1,139,.283,.369,.630,.999,6.04
2,2021,LAA,36,36,117,23,39,8,1,8,18,27,2,41,.333,.466,.624,1.090,1.82
3,2020,LAA,53,53,199,41,56,9,2,17,46,35,1,56,.281,.390,.603,.993,1.82
4,2019,LAA,136,133,470,110,137,27,2,45,104,110,11,120,.291,.438,.645,1.083,7.89
5,2018,LAA,140,139,471,101,147,24,4,39,79,122,24,124,.312,.460,.628,1.088,9.92
6,2017,LAA,114,114,402,92,123,25,3,33,72,94,22,90,.306,.442,.629,1.071,6.92
7,2016,LAA,159,157,549,123,173,32,5,29,100,116,30,137,.315,.441,.550,.991,10.48
8,2015,LAA,159,159,575,104,172,32,6,41,90,92,11,158,.299,.402,.590,.992,9.62
9,2014,LAA,157,157,602,115,173,39,9,36,111,83,16,184,.287,.377,.561,.938,7.71
10,2013,LAA,157,157,589,109,190,39,9,27,97,110,33,136,.323,.432,.557,.989,8.9
11,2012,LAA,139,138,559,129,182,27,8,30,83,67,49,139,.326,.399,.564,.963,10.54
12,2011,LAA,40,32,123,20,27,6,0,5,16,9,4,30,.220,.281,.390,.671,0.47
