Year,National League,ERA,,American League,ERA,,ERA_Leader
2023,Blake Snell* (SDP),2.25,,Gerrit Cole (NYY),2.63,,2.63
2022,Julio Urías* (LAD),2.16,,Justin Verlander (HOU),1.75,,2.16
2021,Corbin Burnes (MIL),2.43,,Robbie Ray* (TOR),2.84,,2.84
2020,Trevor Bauer (CIN),1.73,,Shane Bieber (CLE),1.63,,1.73
2019,Hyun Jin Ryu* (LAD),2.32,,Gerrit Cole (HOU),2.5,,2.5
2018,Jacob deGrom (NYM),1.7,,Blake Snell* (TBR),1.89,,1.89
2017,Clayton Kershaw* (LAD),2.31,,Corey Kluber (CLE),2.25,,2.31
2016,Kyle Hendricks (CHC),2.13,,Aaron Sanchez (TOR),3,,3
2015,Zack Greinke (LAD),1.66,,David Price* (2TM),2.45,,2.45
2014,Clayton Kershaw* (LAD),1.77,,Félix Hernández (SEA),2.14,,2.14
2013,Clayton Kershaw* (LAD),1.83,,Aníbal Sánchez (DET),2.57,,2.57
2012,Clayton Kershaw* (LAD),2.53,,David Price* (TBR),2.56,,2.56
2011,Clayton Kershaw* (LAD),2.28,,Justin Verlander (DET),2.4,,2.4
2010,Josh Johnson (FLA),2.3,,Félix Hernández (SEA),2.27,,2.3
2009,Chris Carpenter (STL),2.24,,Zack Greinke (KCR),2.16,,2.24
2008,Johan Santana* (NYM),2.53,,Cliff Lee* (CLE),2.54,,2.54
2007,Jake Peavy (SDP),2.54,,John Lackey (LAA),3.01,,3.01
2006,Roy Oswalt (HOU),2.98,,Johan Santana* (MIN),2.77,,2.98
2005,Roger Clemens (HOU),1.87,,Kevin Millwood (CLE),2.86,,2.86
2004,Jake Peavy (SDP),2.27,,Johan Santana* (MIN),2.61,,2.61
2003,Jason Schmidt (SFG),2.34,,Pedro Martinez+ (BOS),2.22,,2.34
2002,Randy Johnson+* (ARI),2.32,,Pedro Martinez+ (BOS),2.26,,2.32
2001,Randy Johnson+* (ARI),2.49,,Freddy García (SEA),3.05,,3.05
2000,Kevin Brown (LAD),2.58,,Pedro Martinez+ (BOS),1.74,,2.58
1999,Randy Johnson+* (ARI),2.48,,Pedro Martinez+ (BOS),2.07,,2.48
1998,Greg Maddux+ (ATL),2.22,,Roger Clemens (TOR),2.65,,2.65
1997,Pedro Martinez+ (MON),1.9,,Roger Clemens (TOR),2.05,,2.05
1996,Kevin Brown (FLA),1.89,,Juan Guzmán (TOR),2.93,,2.93
1995,Greg Maddux+ (ATL),1.63,,Randy Johnson+* (SEA),2.48,,2.48
1994,Greg Maddux+ (ATL),1.56,,Steve Ontiveros (OAK),2.65,,2.65
1993,Greg Maddux+ (ATL),2.36,,Kevin Appier (KCR),2.56,,2.56
1992,Bill Swift (SFG),2.08,,Roger Clemens (BOS),2.41,,2.41
1991,Dennis Martínez (MON),2.39,,Roger Clemens (BOS),2.62,,2.62
1990,Danny Darwin (HOU),2.21,,Roger Clemens (BOS),1.93,,2.21
1989,Scott Garrelts (SFG),2.28,,Bret Saberhagen (KCR),2.16,,2.28
1988,Joe Magrane* (STL),2.18,,Allan Anderson* (MIN),2.45,,2.45
1987,Nolan Ryan+ (HOU),2.76,,Jimmy Key* (TOR),2.76,,2.76
1986,Mike Scott (HOU),2.22,,Roger Clemens (BOS),2.48,,2.48
1985,Dwight Gooden (NYM),1.53,,Dave Stieb (TOR),2.48,,2.48
1984,Alejandro Peña (LAD),2.48,,Mike Boddicker (BAL),2.79,,2.79
1983,Atlee Hammaker* (SFG),2.25,,Rick Honeycutt* (TEX),2.42,,2.42
1982,Steve Rogers (MON),2.4,,Rick Sutcliffe (CLE),2.96,,2.96
1981,Nolan Ryan+ (HOU),1.69,,Sammy Stewart (BAL),2.32,,2.32
1980,Don Sutton+ (LAD),2.2,,Rudy May* (NYY),2.46,,2.46
1979,J.R. Richard (HOU),2.71,,Ron Guidry* (NYY),2.78,,2.78
1978,Craig Swan (NYM),2.43,,Ron Guidry* (NYY),1.74,,2.43
1977,John Candelaria* (PIT),2.34,,Frank Tanana* (CAL),2.54,,2.54
1976,John Denny (STL),2.52,,Mark Fidrych (DET),2.34,,2.52
1975,Randy Jones* (SDP),2.24,,Jim Palmer+ (BAL),2.09,,2.24
1974,Buzz Capra (ATL),2.28,,Catfish Hunter+ (OAK),2.49,,2.49
1973,Tom Seaver+ (NYM),2.08,,Jim Palmer+ (BAL),2.4,,2.4
1972,Steve Carlton+* (PHI),1.97,,Luis Tiant (BOS),1.91,,1.97
1971,Tom Seaver+ (NYM),1.76,,Vida Blue* (OAK),1.82,,1.82
1970,Tom Seaver+ (NYM),2.82,,Diego Seguí (OAK),2.56,,2.82
1969,Juan Marichal+ (SFG),2.1,,Dick Bosman (WSA),2.19,,2.19
1968,Bob Gibson+ (STL),1.12,,Luis Tiant (CLE),1.6,,1.6
1967,Phil Niekro+ (ATL),1.87,,Joe Horlen (CHW),2.06,,2.06
1966,Sandy Koufax+* (LAD),1.73,,Gary Peters* (CHW),1.98,,1.98
1965,Sandy Koufax+* (LAD),2.04,,Sam McDowell* (CLE),2.18,,2.18
1964,Sandy Koufax+* (LAD),1.74,,Dean Chance (LAA),1.65,,1.74
1963,Sandy Koufax+* (LAD),1.88,,Gary Peters* (CHW),2.33,,2.33
1962,Sandy Koufax+* (LAD),2.54,,Hank Aguirre* (DET),2.21,,2.54
1961,Warren Spahn+* (MLN),3.02,,Dick Donovan (WSA),2.4,,3.02
1960,Mike McCormick* (SFG),2.7,,Frank Baumann* (CHW),2.67,,2.7
1959,Sam Jones (SFG),2.83,,Hoyt Wilhelm+ (BAL),2.19,,2.83
1958,Stu Miller (SFG),2.47,,Whitey Ford+* (NYY),2.01,,2.47
1957,Johnny Podres* (BRO),2.66,,Bobby Shantz* (NYY),2.45,,2.66
1956,Lew Burdette (MLN),2.7,,Whitey Ford+* (NYY),2.47,,2.7
1955,Bob Friend (PIT),2.83,,Billy Pierce* (CHW),1.97,,2.83
1954,Johnny Antonelli* (NYG),2.3,,Mike Garcia (CLE),2.64,,2.64
1953,Warren Spahn+* (MLN),2.1,,Eddie Lopat* (NYY),2.42,,2.42
1952,Hoyt Wilhelm+ (NYG),2.43,,Allie Reynolds (NYY),2.06,,2.43
1951,Chet Nichols* (BSN),2.88,,Saul Rogovin (2TM),2.78,,2.88
1950,Sal Maglie (NYG),2.71,,Early Wynn+ (CLE),3.2,,3.2
1949,Dave Koslo* (NYG),2.5,,Mike Garcia (CLE),2.36,,2.5
1948,Harry Brecheen* (STL),2.24,,Gene Bearden* (CLE),2.43,,2.43
1947,Warren Spahn+* (BSN),2.33,,Joe Haynes (CHW),2.42,,2.42
1946,Howie Pollet* (STL),2.1,,Hal Newhouser+* (DET),1.94,,2.1
1945,Ray Prim* (CHC),2.4,,Hal Newhouser+* (DET),1.81,,2.4
1944,Ed Heusser (CIN),2.38,,Dizzy Trout (DET),2.12,,2.38
1943,Max Lanier* (STL),1.9,,Spud Chandler (NYY),1.64,,1.9
1942,Mort Cooper (STL),1.78,,Ted Lyons+ (CHW),2.1,,2.1
1941,Elmer Riddle (CIN),2.24,,Thornton Lee* (CHW),2.37,,2.37
1940,Bucky Walters (CIN),2.48,,Bob Feller+ (CLE),2.61,,2.61
1939,Bucky Walters (CIN),2.29,,Lefty Grove+* (BOS),2.54,,2.54
1938,Bill Lee (CHC),2.66,,Lefty Grove+* (BOS),3.08,,3.08
1937,Jim Turner (BSN),2.38,,Lefty Gomez+* (NYY),2.33,,2.38
1936,Carl Hubbell+* (NYG),2.31,,Lefty Grove+* (BOS),2.81,,2.81
1935,Cy Blanton (PIT),2.58,,Lefty Grove+* (BOS),2.7,,2.7
1934,Carl Hubbell+* (NYG),2.3,,Lefty Gomez+* (NYY),2.33,,2.33
1933,Carl Hubbell+* (NYG),1.66,,Mel Harder (CLE),2.95,,2.95
1932,Lon Warneke (CHC),2.37,,Lefty Grove+* (PHA),2.84,,2.84
1931,Bill Walker* (NYG),2.26,,Lefty Grove+* (PHA),2.06,,2.26
1930,Dazzy Vance+ (BRO),2.61,,Lefty Grove+* (PHA),2.54,,2.61
1929,Bill Walker* (NYG),3.09,,Lefty Grove+* (PHA),2.81,,3.09
1928,Dazzy Vance+ (BRO),2.09,,Garland Braxton* (WSH),2.51,,2.51
1927,Ray Kremer (PIT),2.47,,Wilcy Moore (NYY),2.28,,2.47
1926,Ray Kremer (PIT),2.61,,Lefty Grove+* (PHA),2.51,,2.61
1925,Dolf Luque (CIN),2.63,,Stan Coveleski+ (WSH),2.84,,2.84
1924,Dazzy Vance+ (BRO),2.16,,Walter Johnson+ (WSH),2.72,,2.72
1923,Dolf Luque (CIN),1.93,,Stan Coveleski+ (CLE),2.76,,2.76
1922,Phil Douglas (NYG),2.63,,Red Faber+ (CHW),2.81,,2.81
1921,Bill Doak (STL),2.59,,Red Faber+ (CHW),2.48,,2.59
1920,Grover Alexander+ (CHC),1.91,,Bob Shawkey (NYY),2.45,,2.45
1919,Grover Alexander+ (CHC),1.72,,Walter Johnson+ (WSH),1.49,,1.72
1918,Hippo Vaughn* (CHC),1.74,,Walter Johnson+ (WSH),1.27,,1.74
1917,Fred Anderson (NYG),1.44,,Eddie Cicotte (CHW),1.53,,1.53
1916,Grover Alexander+ (PHI),1.55,,Babe Ruth+* (BOS),1.75,,1.75
1915,Grover Alexander+ (PHI),1.22,,Smoky Joe Wood (BOS),1.49,,1.49
1914,Bill Doak (STL),1.72,,Dutch Leonard* (BOS),0.96,,1.72
1913,Christy Mathewson+ (NYG),2.06,,Walter Johnson+ (WSH),1.14,,2.06
1912,Jeff Tesreau (NYG),1.96,,Walter Johnson+ (WSH),1.39,,1.96
1911,Christy Mathewson+ (NYG),1.99,,Vean Gregg* (CLE),1.8,,1.99
1910,King Cole (CHC),1.8,,Ed Walsh+ (CHW),1.27,,1.8
1909,Christy Mathewson+ (NYG),1.14,,Harry Krause* (PHA),1.39,,1.39
1908,Christy Mathewson+ (NYG),1.43,,Addie Joss+ (CLE),1.16,,1.43
1907,Jack Pfiester* (CHC),1.15,,Ed Walsh+ (CHW),1.6,,1.6
1906,Mordecai Brown+ (CHC),1.04,,Doc White* (CHW),1.52,,1.52
1905,Christy Mathewson+ (NYG),1.28,,Rube Waddell+* (PHA),1.48,,1.48
1904,Joe McGinnity+ (NYG),1.61,,Addie Joss+ (CLE),1.59,,1.61
1903,Sam Leever (PIT),2.06,,Earl Moore (CLE),1.74,,2.06
1902,Jack Taylor (CHC),1.29,,Ed Siever* (DET),1.91,,1.91
1901,Jesse Tannehill* (PIT),2.18,,Cy Young+ (BOS),1.62,,2.18
1900,Rube Waddell+* (PIT),2.37,,,,,2.37
1899,Vic Willis+ (BSN),2.5,,,,,2.5
