Year,National League,OPS,,American League,OPS,,OPS_Leader
2023,Ronald Acuna Jr. (ATL),1.012,,Shohei Ohtani* (LAA),1.066,,1.066
2022,Paul Goldschmidt (STL),0.981,,Aaron Judge (NYY),1.111,,1.111
2021,Bryce Harper* (PHI),1.044,,Vladimir Guerrero Jr. (TOR),1.002,,1.044
2020,Juan Soto* (WSN),1.185,,DJ LeMahieu (NYY),1.011,,1.185
2019,Christian Yelich* (MIL),1.100,,Mike Trout (LAA),1.083,,1.100
2018,Christian Yelich* (MIL),1.000,,Mike Trout (LAA),1.088,,1.088
2017,Joey Votto* (CIN),1.032,,Mike Trout (LAA),1.071,,1.071
2016,Daniel Murphy* (WSN),0.985,,David Ortiz+* (BOS),1.021,,1.021
2015,Bryce Harper* (WSN),1.109,,Mike Trout (LAA),0.991,,1.109
2014,Andrew McCutchen (PIT),0.952,,Víctor Martínez# (DET),0.974,,0.974
2013,Paul Goldschmidt (ARI),0.952,,Miguel Cabrera (DET),1.078,,1.078
2012,Ryan Braun (MIL),0.987,,Miguel Cabrera (DET),0.999,,0.999
2011,Ryan Braun (MIL),0.994,,José Bautista (TOR),1.056,,1.056
2010,Joey Votto* (CIN),1.024,,Josh Hamilton* (TEX),1.044,,1.044
2009,Albert Pujols (STL),1.101,,Joe Mauer+* (MIN),1.031,,1.101
2008,Albert Pujols (STL),1.114,,Milton Bradley# (TEX),0.999,,1.114
2007,Chipper Jones+# (ATL),1.029,,Alex Rodriguez (NYY),1.067,,1.067
2006,Albert Pujols (STL),1.102,,Travis Hafner* (CLE),1.097,,1.102
2005,Derrek Lee (CHC),1.080,,Alex Rodriguez (NYY),1.031,,1.080
2004,Barry Bonds* (SFG),1.422,,Manny Ramirez (BOS),1.009,,1.422
2003,Barry Bonds* (SFG),1.278,,Carlos Delgado* (TOR),1.019,,1.278
2002,Barry Bonds* (SFG),1.381,,Jim Thome+* (CLE),1.122,,1.381
2001,Barry Bonds* (SFG),1.379,,Jason Giambi* (OAK),1.137,,1.379
2000,Todd Helton+* (COL),1.162,,Manny Ramirez (CLE),1.154,,1.162
1999,Larry Walker+* (COL),1.168,,Manny Ramirez (CLE),1.105,,1.168
1998,Mark McGwire (STL),1.222,,Albert Belle (CHW),1.055,,1.222
1997,Larry Walker+* (COL),1.172,,Frank Thomas+ (CHW),1.067,,1.172
1996,Gary Sheffield (FLA),1.090,,Mark McGwire (OAK),1.198,,1.198
1995,Barry Bonds* (SFG),1.009,,Edgar Martínez+ (SEA),1.107,,1.107
1994,Jeff Bagwell+ (HOU),1.201,,Frank Thomas+ (CHW),1.217,,1.217
1993,Barry Bonds* (SFG),1.136,,John Olerud* (TOR),1.072,,1.136
1992,Barry Bonds* (PIT),1.080,,Frank Thomas+ (CHW),0.975,,1.080
1991,Barry Bonds* (PIT),0.924,,Frank Thomas+ (CHW),1.006,,1.006
1990,Barry Bonds* (PIT),0.970,,Rickey Henderson+ (OAK),1.016,,1.016
1989,Kevin Mitchell (SFG),1.023,,Fred McGriff+* (TOR),0.924,,1.023
1988,Darryl Strawberry* (NYM),0.911,,Wade Boggs+* (BOS),0.965,,0.965
1987,Jack Clark (STL),1.055,,Wade Boggs+* (BOS),1.049,,1.055
1986,Mike Schmidt+ (PHI),0.937,,Don Mattingly* (NYY),0.967,,0.967
1985,Pedro Guerrero (LAD),0.999,,George Brett+* (KCR),1.022,,1.022
1984,Mike Schmidt+ (PHI),0.919,,Dwight Evans (BOS),0.920,,0.920
1983,Dale Murphy (ATL),0.933,,George Brett+* (KCR),0.947,,0.947
1982,Mike Schmidt+ (PHI),0.949,,Robin Yount+ (MIL),0.957,,0.957
1981,Mike Schmidt+ (PHI),1.080,,Dwight Evans (BOS),0.937,,1.080
1980,Mike Schmidt+ (PHI),1.004,,George Brett+* (KCR),1.118,,1.118
1979,Dave Kingman (CHC),0.956,,Fred Lynn* (BOS),1.059,,1.059
1978,Dave Parker* (PIT),0.979,,Jim Rice+ (BOS),0.970,,0.979
1977,George Foster (CIN),1.013,,Rod Carew+* (MIN),1.019,,1.019
1976,Joe Morgan+* (CIN),1.020,,Hal McRae (KCR),0.868,,1.020
